x,y
2006.50,3332
2006.75,3903
2007,4523
2007.25,5538
2007.50,5805
2007.75,5948
2008,6357
2008.25,5858
2008.50,6143
2008.75,5430
2009,5226
2009.25,5613
2009.50,5221
2009.75,5181
2010,5397
2010.25,5575
2010.50,5496
2010.75,5246
2011,5520
2011.25,5321
2011.50,5380
2011.75,5254
2012,5396
2012.25,5159
2012.50,5074
2012.75,5067
2013,4807
2013.25,4932
2013.50,5042
2013.75,5062
2014,5008
2014.25,4970
2014.50,4994
2014.75,5010
2015,4970
2015.25,4985
2015.50,5099
2015.75,5060
2016,5065
2016.25,5177
2016.50,5236
2016.75,5282
2017,5154
2017.25,5465
2017.50,5433
2017.75,5550
2018,5620
2018.25,5777
2018.50,5932
2018.75,6114
2019,6151
2019.25,6343
2019.50,6443
2019.75,6664
2020,6831
2020.25,7015
2020.50,7092
2020.75,7145
2021,7101
2021.25,6980
2021.50,7091
